identifier,identifier_filename,repository,repository_location,collection_identifier,collection,title,name,name_authority,name_type,name_role,item_type,internet_media_type,form,form_URI,extent,abstract,date_text,date_single/start,date_end,date_qualifier,public_note,shelf_locator,subject_broad_local,subject_lcsh,subject_lcsh_authority,subject_lcsh_URI,subject_lcsh 2,subject_lcsh_authority 2,subject_lcsh_URI 2,subject_name 1,subject_name 2,subject_geographic 1,subject_geographic 2,project_title,project_URL
daniel_Causes_0001,daniel_Causes_0001.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Charlie Daniel Editorial Cartoon Collection,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Misinformed,[1951-2012?],1951,2012,inferred,,Causes,Causes,Teenagers,lcsh,http://id.loc.gov/authorities/subjects/sh87006824,Education,lcsh,http://id.loc.gov/authorities/subjects/sh85040989,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection
daniel_Causes_0226,daniel_Causes_0226.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Causes,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Dangerous Levels of Mercury Found in Moonshine,[1951-2012?],1951,2012,inferred,,Causes,Causes,"Distilling, Illicit",lcsh,http://id.loc.gov/authorities/subjects/sh85038527,Water--Pollution,lcsh,http://id.loc.gov/authorities/subjects/sh85145467,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection
daniel_Causes_0227,daniel_Causes_0227.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Causes,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Smidlap Decides to Enter the Office Pool,circa 2000,2000,,approximate,,Causes,Causes,Newspapers,lcsh,http://id.loc.gov/authorities/subjects/sh85091588,Gambling,lcsh,http://id.loc.gov/authorities/subjects/sh85052909,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection
daniel_Causes_0228,daniel_Causes_0228.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Causes,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,"""X"" Rated Films Are Cheaper to Produce…Why?",circa 1970,1970,,approximate,,Causes,Causes,Motion pictures,lcsh,http://id.loc.gov/authorities/subjects/sh85088084,Pornography,lcsh,http://id.loc.gov/authorities/subjects/sh85105008,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection
daniel_Causes_0229,daniel_Causes_0229.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Causes,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,"Dissatisfied with the mail delivery, Mr. Schultz?",circa 1960,1960,,approximate,,Causes,Causes,Post office buildings,lcsh,http://id.loc.gov/authorities/subjects/sh85105476,,,,United States Postal Service,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection
daniel_Causes_0230,daniel_Causes_0230.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Causes,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,"Think you can lick this stamp thing, Congressman?",1962,1962,,,,Causes,Causes,Post office buildings,lcsh,http://id.loc.gov/authorities/subjects/sh85105476,Postal rates,lcsh,http://id.loc.gov/authorities/subjects/sh85105499,United States Postal Service,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection
daniel_Causes_0231,daniel_Causes_0231.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Causes,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,You don't need prayer…you need air!,circa 1970,1970,,approximate,,Causes,Causes,Post office buildings,lcsh,http://id.loc.gov/authorities/subjects/sh85105476,,,,United States Postal Service,"Nixon, Richard M. (Richard Milhous), 1913-1994",,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection
daniel_Causes_0232,daniel_Causes_0232.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Causes,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Captive Audience,circa 1990,1990,,approximate,,Causes,Causes,,,,Cable television,lcsh,http://id.loc.gov/authorities/subjects/sh85018575,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection
daniel_Causes_0233,daniel_Causes_0233.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Causes,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,"What's on the tube tonight, Elmo?",circa 1980,1980,,approximate,,Causes,Causes,Television,lcsh,http://id.loc.gov/authorities/subjects/sh85133456,Video recordings--Pirated editions,lcsh,http://id.loc.gov/authorities/subjects/sh88000585,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection
daniel_Causes_0234,daniel_Causes_0234.tif,"University of Tennessee, Knoxville. Special Collections","James D. Hoskins Library, Room 200 , Knoxville, Tennessee, 37996-4006",MS.3526,"Charlie Daniel Editorial Cartoon Collection, 1951-2012",Causes,"Daniel, Charles R. (Charlie), Jr., 1930-",,personal,Creator,still image,image/jpeg,drawings (visual works),http://vocab.getty.edu/aat/300033973,1 digital image; 1 still image,Computers cause a lot of folks to lose their religion,circa 2000,2000,,approximate,,Causes,Causes,Computers,lcsh,http://id.loc.gov/authorities/subjects/sh85029552,Anger,lcsh,http://id.loc.gov/authorities/subjects/sh85005009,,,,,Charlie Daniel Editorial Cartoon Collection,http://digital.lib.utk.edu/collections/danielcartooncollection
